APOGEE,RAJ2000,DEJ2000
2M20183197+1953430,304.633241,19.895283
2M00085727+7341257,2.238636,73.690475
2M00092789+0145417,2.366216,1.761607
2M07282763+2225408,112.115125,22.428013
2M01210284+8431304,20.261862,84.525131
2M04411627+5855354,70.317793,58.926521
2M00104203+0152065,2.675149,1.868474
2M07103169+0712585,107.632065,7.216252
2M19364967+3813244,294.206988,38.223454
2M19565473+2206194,299.228079,22.105410
2M06181256+3148140,94.552351,31.803905
2M08112409+3251415,122.850404,32.861553
2M07282117+2232479,112.088243,22.546661
2M21324071+1224030,323.169642,12.400843
2M19301464+2613471,292.561020,26.229767
2M18141209-0000109,273.550415,-0.003030
2M05224382+4300425,80.682587,43.011822
